Name,measurement_method,normalised_name,raw_value,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Propionaldehyde,el_cde_tables,CCC=O,1.9,9.17361111111111,0.6388888888888888,9.17361111111111,0.6388888888888888,0.40325990291792796,58.08,52.032000000000004,58.041864812,24.0,0.0,0.11921494428801727,-0.30341423261619294,0.30341423261619294,0.11921494428801727,2.0,2.25,2.25,16.128669873456406,10.573321524729696,1.5215102458266105,-1.5102578854215465,1.5296669070255924,-1.546033732636957,5.477669402907269,-0.10708870297661234,2.2968352619191386,17.24511249783653,3.414213562373095,2.6927053408400363,2.6927053408400363,1.914213562373095,1.3510573320459265,1.3510573320459265,0.5749149571305296,0.5749149571305296,0.16666666666666669,0.16666666666666669,0.0,0.0,-0.33,6.854752972273345,3.67,2.67,1.6699999999999997,25.630657356666532,4.794537184071822,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,6.4208216229260096,0.0,4.794537184071822,6.286160523129555,0.0,0.0,0.0,13.344558822616634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523129555,4.794537184071822,0.0,13.344558822616634,0.0,0.0,0.0,0.0,17.07,0.0,4.794537184071822,0.0,0.0,6.4208216229260096,6.286160523129555,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,9.17361111111111,0.0,0.0,0.0,0.0,1.5138888888888888,1.8125,0.0,0.6666666666666666,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5952999999999999,16.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEO,el_cde_text,OO,1.47,6.0,6.0,6.0,6.0,0.292487473410359,34.014,31.998,34.005479304,14.0,0.0,-0.254557430614467,-0.254557430614467,0.254557430614467,0.254557430614467,1.0,1.0,1.0,16.999,14.998999999999999,0.7454425693855331,-1.254557430614467,0.7107,-1.2893,1.8237999999999999,-0.17619999999999997,1.0,0.0,2.0,0.8944271909999159,0.8944271909999159,1.0,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,2.0,1.9199999999999995,0.9200000000000015,-14.580000000000016,11.892071733563276,0.0,0.0,0.0,0.0,0.0,0.0,10.514470788593536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.514470788593536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.514470788593536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.514470788593536,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01739999999999997,5.2576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alumina,el_mylogic,O=[Al]O[Al]=O,1.7,9.211805555555555,-1.239583333333334,9.211805555555555,1.2395833333333335,0.4168020207505891,101.961,101.961,101.94782112,24.0,0.0,,,,,1.2,1.6,1.6,,,,,,,,,2.6531630746803305,34.1577218810798,4.121320343559642,2.379445409770841,4.688846486529344,2.414213562373095,0.9428090415820636,2.8284271247461907,0.3285328532178297,1.8020951405812156,0.11111111111111116,1.0000000000000004,0.022680460581325737,0.20412414523193162,0.4649350649350646,11.245112497836532,5.464935064935066,4.464935064935066,4.464935064935067,41.82867393360402,0.0,0.0,0.0,0.0,0.0,41.42161565134296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.44687166361731,30.974743987725653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.974743987725653,10.44687166361731,0.0,0.0,0.0,0.0,0.0,0.0,43.370000000000005,30.974743987725653,7.606703351496723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8401683121205874,0.0,22.3125,-2.4791666666666674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,-1.0676,13.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyclotriphosphazene,rsc_cde_text,N1PNP=NP1,1.9,3.9618055555555554,0.6141975308641975,3.9618055555555554,0.6141975308641975,0.5614815151152714,138.97500000000002,134.943,138.961807018,34.0,0.0,0.13780988405402494,-0.3127882936108457,0.3127882936108457,0.13780988405402494,1.6666666666666667,2.6666666666666665,2.8333333333333335,31.131927405967968,13.853072594032037,1.5462527754252677,-1.74530927384662,2.0087665540579778,-1.467466554057978,7.432636676129994,1.6933633238700099,3.000000000000001,77.96100505779535,4.242640687119286,2.8944271909999157,5.788854381999832,3.0,1.3972135954999578,4.191640786499875,0.6736067977499789,4.041640786499874,0.32430339887498943,2.9187305898749054,0.15590169943749474,2.806230589874905,0.29999999999999993,34.3994618804395,4.458730158730159,2.469060216679264,1.1798185941043084,39.93642028646641,9.017893917834018,8.509913371502599,0.0,0.0,0.0,0.0,0.0,0.0,4.508946958917009,0.0,0.0,0.0,17.019826743005197,0.0,0.0,25.529740114507796,0.0,13.526840876751027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.529740114507796,13.526840876751027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.47,0.0,0.0,0.0,0.0,17.019826743005197,8.509913371502599,0.0,0.0,0.0,13.526840876751027,0.0,10.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.357638888888889,0.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.5048999999999995,32.0814,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PMMA,el_mylogic,COC(=O)[C](C)C,1.49,10.252314814814815,-0.23611111111111094,10.252314814814815,0.23611111111111094,0.45594217926268626,101.125,92.053,101.060254528,41.0,1.0,0.31187207980134457,-0.46857596787651784,0.46857596787651784,0.31187207980134457,1.4285714285714286,1.8571428571428572,1.8571428571428572,16.523812446720683,10.22741717763114,2.037823292542095,-1.9660141305351864,1.9453039428718624,-2.051190153791987,5.825719175597067,-0.13763180307212364,3.3530759537985286,66.48040587771368,5.8618073195657985,4.816496580927726,4.816496580927726,3.1807392125526213,2.0664965809277263,2.0664965809277263,1.4915816237971964,1.4915816237971964,0.5936436964131622,0.5936436964131622,0.20412414523193154,0.20412414523193154,-0.53,27.977093296928835,6.47,2.610921480426842,2.2012614259597805,43.47408681496662,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,13.847474399381248,0.0,13.027703587438927,9.53140013787187,5.969305287951849,0.0,0.0,0.0,13.847474399381248,7.109797541277533,5.917906046161393,0.0,0.0,0.0,0.0,0.0,0.0,13.079102829229383,9.53140013787187,5.917906046161393,13.847474399381248,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,5.969305287951849,5.917906046161393,0.0,7.109797541277533,13.847474399381248,0.0,4.736862953800049,0.0,4.335648148148148,0.0,10.252314814814815,0.0,0.0,0.44675925925925974,0.0,0.0,3.4282407407407405,1.3703703703703702,0.6,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.7736899999999999,26.60699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH3SO4,el_mylogic,COS(=O)(=O)[O-],1.526,9.222222222222221,-4.412037037037036,9.222222222222221,0.8078703703703705,0.3243810470636355,111.09799999999998,108.07399999999998,110.97575315591001,38.0,0.0,0.21686603705130306,-0.7255268762275708,0.7255268762275708,0.21686603705130306,1.6666666666666667,1.8333333333333333,1.8333333333333333,32.25181096131589,11.77160400477699,1.7878663137749005,-1.9771124617061246,1.7396712901492828,-1.9701469674423437,7.803293853696283,0.314098349561857,3.850621638983669,109.50977500432694,5.207106781186548,3.0412414523193156,3.8577380332470415,2.5606601717798214,1.0749149571305299,2.408248290463863,0.57491495713053,1.7247448713915894,0.2041241452319316,0.6123724356957946,0.0,0.0,-0.13000000000000003,12.16479703638053,5.87,1.5453875784214643,3.8700000000000006,35.69043614343508,4.552749873690364,0.0,0.0,10.399000581649606,0.0,0.0,4.183085432649707,8.417796984328938,0.0,0.0,0.0,0.0,0.0,7.109797541277533,17.15363229066901,10.399000581649606,0.0,0.0,0.0,0.0,7.109797541277533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.080344399296834,14.582086014299314,0.0,0.0,0.0,0.0,0.0,0.0,66.43,10.399000581649606,12.9705468580193,0.0,0.0,0.0,7.109797541277533,0.0,0.0,0.0,4.183085432649707,0.0,31.020833333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.604166666666666,1.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,-0.9069999999999998,16.7062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silicon,el_mylogic,[SiH4],3.49,0.0,0.0,0.0,0.0,0.2865180213359163,32.117999999999995,28.086,32.008226658,8.0,0.0,-0.014851126115719645,-0.014851126115719645,0.014851126115719645,0.014851126115719645,1.0,1.0,1.0,28.086,28.086,-0.014851126115719645,-0.014851126115719645,-0.3808,-0.3808,5.754,5.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2168831168831169,0.0,1.216883116883117,2.827661559996889,14.659996889338204,12.141994634022819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.965329698766189,0.0,0.0,0.0,10.965329698766189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.965329698766189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.965329698766189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.4516000000000002,11.333999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dimethylformamide,el_mylogic,CN(C)C=O,1.4291,9.430555555555555,0.75,9.430555555555555,0.75,0.3902682398861675,73.095,66.03899999999999,73.052763844,30.0,0.0,0.2086847180796838,-0.35138679501082243,0.35138679501082243,0.2086847180796838,1.6,1.8,1.8,16.141264414836222,10.984730929981472,1.676590454284669,-1.9279522555013062,1.5164303698840307,-2.0562001471122726,5.448254175176544,-0.11544112959140373,2.825749368745867,33.87430298092722,4.284457050376173,3.4328121551534467,3.4328121551534467,2.270055610029662,1.3883283411425928,1.3883283411425928,1.0690206303332261,1.0690206303332261,0.210818510677892,0.210818510677892,0.0,0.0,-0.53,9.65148445440323,4.469999999999999,1.7581844380403455,3.469999999999999,31.390491026869903,4.899909730850478,0.0,0.0,6.410095306116121,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,14.09534396535438,0.0,4.794537184071822,6.410095306116121,0.0,4.899909730850478,0.0,0.0,14.09534396535438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.405349002320982,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,20.310000000000002,0.0,4.794537184071822,0.0,0.0,0.0,6.410095306116121,4.899909730850478,14.09534396535438,0.0,0.0,0.0,0.0,0.0,10.875,0.0,0.0,0.0,0.0,0.75,0.0,3.375,0.6666666666666666,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,-0.2956000000000001,19.750999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K2O,el_cde_tables,[OH-].[K+].[K+],3.49,0.0,0.0,0.0,0.0,0.27534547354961486,95.203,94.195,94.92960443209,8.0,0.0,1.0,-0.8696814924318097,1.0,0.8696814924318097,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,-0.0,2.7548875021634682,0.0,2.447213595499958,8.69342484673528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2327272727272724,0.0,16.330376202719012,8.97078687129545,5.2327272727272724,104.69436057904325,5.476191835881363,0.0,0.0,0.0,0.0,102.76906981257326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.24526164845463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.76906981257326,0.0,0.0,0.0,5.476191835881363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,108.24526164845463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-6.1688,1.9358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CuSO4·5H2O,el_mylogic,CC(C(=O)O)(c1ccc(OCc2ccc3ccccc3n2)cc1)c1ccc(OCc2ccc3ccccc3n2)cc1,1.4352,12.54863884449778,-1.2531127962291593,12.54863884449778,0.31603854713826696,0.20676640982609124,540.6190000000003,512.3950000000003,540.204907376,202.0,0.0,0.31785362793478034,-0.4873068743555779,0.4873068743555779,0.31785362793478034,0.6097560975609756,1.024390243902439,1.4390243902439024,16.480164773865482,9.760673119207876,2.3688739056574484,-2.262243028327119,2.3435484821069603,-2.3317789868006495,5.8537189787215995,-0.1410842605245624,1.1326678136187969,1705.6949653030476,28.23562927193611,22.52760460405708,22.52760460405708,19.98535157996307,13.383665628338871,13.383665628338871,10.046837484424353,10.046837484424353,7.376683346009164,7.376683346009164,4.874407635554211,4.874407635554211,-5.229999999999998,2929339200.5581717,26.016381873006438,11.099420382281318,5.4501902572152545,237.412867646289,14.580253302440804,30.127778064990427,0.0,0.0,0.0,5.969305287951849,4.794537184071822,9.967957041894417,0.0,0.0,72.79640482153933,66.5815767307775,10.772448428929591,22.421257424929443,19.374790486512627,27.77515515211396,0.0,9.967957041894417,0.0,25.552491598113242,0.0,143.84210034232316,0.0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,21.04378972468697,23.42329158249444,0.0,29.438496172781537,121.32734136923226,0.0,21.805849864162113,0.0,81.54,11.384295757348628,9.901064578912528,0.0,0.0,35.839690578987636,33.193705853859036,0.0,55.4546737473835,72.79640482153933,9.967957041894417,9.473725907600098,11.892032328072197,0.0,21.834512670128426,12.433707618750963,3.52468890009664,0.3384765952524973,38.22043826274457,0.0,2.3394769582880506,0.0,0.11428571428571428,41.0,1.0,6.0,0.0,0.0,0.0,4.0,2.0,6.0,5.0,1.0,6.0,9.0,0.0,0.0,0.0,6.0,7.331600000000006,159.12379999999965,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toluene,el_cde_tables,Cc1ccccc1,1.4961,2.0833333333333335,1.3217592592592595,2.0833333333333335,1.3217592592592595,0.4588062796575455,92.14099999999999,84.07699999999998,92.062600256,36.0,0.0,-0.039774526323627504,-0.06224908578199481,0.06224908578199481,0.039774526323627504,1.0,1.5714285714285714,1.8571428571428572,13.782105281259431,10.2446262174219,1.7152546995077484,-1.8223238719751815,1.9162789955764012,-1.6221555927559288,5.11182720852277,1.475756642372446,3.0214653097240864,129.96566024533826,5.112884175122364,4.386751345948129,4.386751345948129,3.393846850117352,2.4106836025229597,2.4106836025229597,1.654700538379252,1.654700538379252,0.9404557350153064,0.9404557350153064,0.5343778974176118,0.5343778974176118,-0.78,47.19725257297226,4.380771704180065,1.7832860398554335,1.0382641324115067,43.79634523389357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.89528683400505,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,5.563451491696996,30.33183534230805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.563451491696996,0.0,18.19910120538483,19.056471336613843,0.0,0.0,0.0,0.0,0.0,1.3217592592592595,0.0,10.261574074074074,0.0,2.0833333333333335,0.0,0.14285714285714285,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.99502,31.17899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
